a52dec 0.8.0-2
aalib 1.4rc5-16
abseil-cpp 20230125.3-1
accountsservice 23.13.9-1
acl 2.3.1-3
acpi 1.7-3
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adwaita-cursors 44.0-1
adwaita-icon-theme 44.0-1
alsa-card-profiles 1:0.3.71-2
alsa-firmware 1.2.4-3
alsa-lib 1.2.9-1
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.9-1
alsa-utils 1.2.9-1
aom 3.6.1-1
appstream 0.16.2-1
apr 1.7.3-1
apr-util 1.6.3-1
arandr 0.1.11-2
arc-gtk-theme-eos 20221218-1
arch-install-scripts 28-1
archlinux-keyring 20230504-1
archlinux-xdg-menu 0.7.6.6-1
argon2 20190702-5
at-spi2-core 2.48.3-1
atkmm 2.28.3-1
attica 5.106.0-1
attr 2.5.1-3
audit 3.1.1-1
aurpublish r40.gf88c7ae-2
autoconf 2.71-4
autoconf-archive 1:2023.02.20-1
automake 1.16.5-2
avahi 0.8+22+gfd482a7-4
ayatana-ido 0.9.3-1
b43-fwcutter 019-4
baloo 5.106.0-1
baloo-widgets 23.04.1-1
base 3-1
base-devel 1-1
bash 5.1.016-4
bash-completion 2.11-3
bind 9.18.15-1
binutils 2.40-6
bison 3.8.2-5
bluez 5.66-1
bluez-libs 5.66-1
bluez-utils 5.66-1
brltty 6.5-4
brotli 1.0.9-12
btrfs-progs 6.3-2
bubblewrap 0.8.0-1
bumper 0.3.1-1
bzip2 1.0.8-5
c-ares 1.19.1-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.89.1-1
ca-certificates-utils 20220905-1
cairo 1.17.8-2
cairomm 1.14.4-1
cantarell-fonts 1:0.303.1-1
cdparanoia 10.2-8
chatgpt-desktop-bin 1.0.0-1
chromaprint 1.5.1-7
chromium 114.0.5735.90-1
cifs-utils 7.0-3
cloudflare-warp-bin 2023.3.398-1
cmake 3.26.4-1
code 1.78.2-1
convertlit 1.8-11
coreutils 9.3-1
cpio 2.14-1
cryptsetup 2.6.1-3
curl 8.1.2-1
dav1d 1.2.1-1
db5.3 5.3.28-2
dbus 1.14.6-2
dbus-glib 0.112-2
dbus-python 1.3.2-2
dconf 0.40.0-2
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.26-2
device-mapper 2.03.21-1
dex 0.9.0-1
dhclient 4.4.3.P1-2
diffutils 3.10-1
ding-libs 0.6.2-1
dmidecode 3.5-1
dmraid 1.0.0.rc16.3-14
dnsmasq 2.89-1
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
dolphin 23.04.1-2
dosfstools 4.2-3
dotconf 1.3-7
double-conversion 3.3.0-1
downgrade 11.3.0-1
dracut 059-1
duf 0.8.1-2
duktape 2.7.0-5
dunst 1.9.2-1
e2fsprogs 1.47.0-1
ebook-tools 0.2.2-7
editorconfig-core-c 0.12.6-1
efibootmgr 18-2
efitools 1.9.2-5
efivar 38-3
electron 22.3.3-1
ell 0.57-1
enchant 2.3.4-1
endeavouros-keyring 20230523-1
endeavouros-mirrorlist 23.4-1
endeavouros-theming 22.12.3.3-2
eos-apps-info 1.6-1
eos-bash-shared 23-19.1
eos-dracut 1.2-1
eos-hooks 1.13-1
eos-lightdm-slick-theme 3.2-1
eos-log-tool 23-1
eos-packagelist 2.1-1
eos-qogir-icons 5-1
eos-quickstart 1.3.1-1
eos-rankmirrors 2.12-1
eos-skel-ce-qtile 1.1-1
eos-translations 23-22
eos-update-notifier 23-5
espeak-ng 1.51.1-2
ethtool 1:6.3-1
exfatprogs 1.2.1-1
exiv2 0.27.6-2
exo 4.18.0-1
expac 10-5
expat 2.5.0-1
f2fs-tools 1.16.0-2
faac 1.30-4
faad2 2.10.1-1
fakeroot 1.31-2
falkon 23.04.1-1
feh 3.10-1
ffmpeg 2:6.0-8
ffmpegthumbnailer 2.2.2-5
fftw 3.3.10-4
file 5.44-3
filesystem 2023.01.31-1
findutils 4.9.0-3
firefox 113.0.2-1
firewalld 1.3.2-1
flac 1.4.2-1
flatpak 1:1.15.4-1
flex 2.6.4-5
fluidsynth 2.3.2-1
fontconfig 2:2.14.2-1
freeglut 3.4.0-1
freetype2 2.13.0-1
fribidi 1.0.13-2
fsarchiver 0.8.7-1
fuse-common 3.14.1-1
fuse2 2.9.9-4
fuse3 3.14.1-1
fzf 0.41.1-1
gawk 5.2.2-1
gc 8.2.4-1
gcc 13.1.1-1
gcc-libs 13.1.1-1
gconf 3.2.6+11+g07808097-10
gcr 3.41.1-4
gcr-4 4.1.0-1
gd 2.3.3-6
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
geoclue 2.7.0-1
gettext 0.21.1-5
giflib 5.2.1-2
git 2.41.0-1
glances 3.4.0.3-1
glew 2.2.0-6
glib-networking 1:2.76.0-1
glib2 2.76.3-1
glib2-docs 2.76.3-1
glibc 2.37-3
glibmm 2.66.6-1
glibmm-2.68 2.76.0-1
glslang 12.1.0-2
glu 9.0.2-3
gmp 6.2.1-2
gnome-common 3.18.0-4
gnupg 2.2.41-1
gnutls 3.8.0-1
go 2:1.20.4-2
gobject-introspection 1.76.1-3
gobject-introspection-runtime 1.76.1-3
gperftools 2.10-1
gpgme 1.20.0-3
gpm 1.20.7.r38.ge82d1a6-5
gpt4all-chat-git r924.2e5b114-1
gpt4all-git r153.1eeaa5c-1
gptfdisk 1.0.9-2
graphene 1.10.8-1
graphite 1:1.3.14-3
grep 3.11-1
groff 1.22.4-10
grub 2:2.06.r499.ge67a551a4-1
gsettings-desktop-schemas 44.0-1
gsm 1.0.22-1
gspell 1.12.1-1
gssdp 1.6.2-1
gssproxy 0.9.1-2
gst-libav 1.22.3-4
gst-plugin-pipewire 1:0.3.71-2
gst-plugins-bad 1.22.3-4
gst-plugins-bad-libs 1.22.3-4
gst-plugins-base 1.22.3-4
gst-plugins-base-libs 1.22.3-4
gst-plugins-good 1.22.3-4
gst-plugins-ugly 1.22.3-4
gstreamer 1.22.3-4
gtk-doc 1.33.2-2
gtk-engine-murrine 0.98.2-4
gtk-update-icon-cache 1:4.10.3-4
gtk2 2.24.33-3
gtk3 1:3.24.38-1
gtk4 1:4.10.3-4
gtkmm3 3.24.7-1
gtksourceview3 1:3.24.11+r28+g73e57b57-1
gtksourceview4 4.8.4-1
guile 3.0.9-1
gupnp 1:1.6.3-1
gupnp-igd 1.6.0-1
gvfs 1.50.4-3
gvfs-afc 1.50.4-3
gvfs-gphoto2 1.50.4-3
gvfs-mtp 1.50.4-3
gvfs-nfs 1.50.4-3
gvfs-smb 1.50.4-3
gzip 1.12-2
harfbuzz 7.3.0-1
harfbuzz-icu 7.3.0-1
haveged 1.9.18-1
hdparm 9.65-1
hicolor-icon-theme 0.17-3
hidapi 0.14.0-1
highway 1.0.4-1
hunspell 1.7.2-1
hwdata 0.371-1
hwdetect 2023.02.20-1
hwinfo 22.2-2
hwloc 2.9.1-1
hyphen 2.8.8-5
iana-etc 20230405-1
icu 72.1-2
imagemagick 7.1.1.11-2
imath 3.1.9-1
imlib2 1.11.1-1
inetutils 2.4-1
iniparser 4.1-4
intel-ucode 20230516.a-1
intltool 0.51.0-6
inxi 3.3.27.1-1
iproute2 6.3.0-2
iptables-nft 1:1.8.9-1
iputils 20221126-2
iso-codes 4.15.0-1
itstool 1:2.0.7-1
iwd 2.5-1
jansson 2.14-2
jasper 4.0.0-1
jemalloc 1:5.3.0-2
jfsutils 1.1.15-8
jq 1.6-4
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
kactivities 5.106.0-1
karchive 5.106.0-1
kate 23.04.1-1
kauth 5.106.0-1
kbd 2.5.1-2
kbookmarks 5.106.0-1
kcmutils 5.106.0-1
kcodecs 5.106.0-1
kcompletion 5.106.0-1
kconfig 5.106.0-1
kconfigwidgets 5.106.0-1
kcoreaddons 5.106.0-1
kcrash 5.106.0-1
kdbusaddons 5.106.0-1
kdeclarative 5.106.0-1
kded 5.106.0-1
kdnssd 5.106.0-1
kdsoap 2.1.1-1
kdsoap-ws-discovery-client git20200927-2
keditbookmarks 23.04.1-1
keyutils 1.6.3-2
kfilemetadata 5.106.0-1
kglobalaccel 5.106.0-1
kguiaddons 5.106.0-1
ki18n 5.106.0-1
kiconthemes 5.106.0-1
kidletime 5.106.0-1
kinit 5.106.0-1
kio 5.106.0-1
kio-extras 23.04.1-1
kitemviews 5.106.0-1
kjobwidgets 5.106.0-1
kmod 30-3
knewstuff 5.106.0-1
knotifications 5.106.0-1
konqueror 23.04.1-1
kpackage 5.106.0-1
kparts 5.106.0-1
krb5 1.20.1-1
kservice 5.106.0-1
ktexteditor 5.106.0-1
ktextwidgets 5.106.0-1
kuserfeedback 1.2.0-1
kwallet 5.106.0-1
kwidgetsaddons 5.106.0-1
kwindowsystem 5.106.0-1
kxmlgui 5.106.0-1
l-smash 2.14.5-3
lame 3.100-4
lcms2 2.15-1
ldb 2:2.7.2-2
ldns 1.8.3-2
less 1:633-1
lib32-gcc-libs 13.1.1-1
lib32-glibc 2.37-3
lib32-libsidplay 1.36.59-7
libaio 0.3.113-2
libao 1.2.2-6
libappindicator-gtk3 12.10.0.r298-1
libarchive 3.6.2-2
libass 0.17.1-1
libassuan 2.5.5-2
libasyncns 1:0.8+r3+g68cd5af-2
libatasmart 0.19-6
libavc1394 0.5.4-6
libavif 0.11.1-1
libavtp 0.2.0-2
libayatana-appindicator 0.5.92-1
libayatana-indicator 0.9.3-1
libb2 0.98.1-2
libb64 1.2.1-4
libblockdev 2.28-2
libbluray 1.3.4-1
libbpf 1.2.0-1
libbs2b 3.1.0-8
libbsd 0.11.7-1
libbytesize 2.8-2
libcaca 0.99.beta20-2
libcamera 0.0.5-1
libcamera-ipa 0.0.5-1
libcanberra 1:0.30+r2+gc0620e4-3
libcap 2.69-1
libcap-ng 0.8.3-2
libcdio 2.1.0-3
libcdio-paranoia 10.2+2.0.1-3
libcloudproviders 0.3.1+r8+g3a229ee-1
libcolord 1.4.6-1
libconfig 1.7.3-2
libcups 1:2.4.3-1
libdaemon 0.14-5
libdatrie 0.2.13-4
libdbusmenu-glib 16.04.0-5
libdbusmenu-gtk3 16.04.0-5
libdbusmenu-qt5 0.9.3+16.04.20160218-6
libdc1394 2.2.6-3
libdca 0.0.7-2
libde265 1.0.11-2
libdecor 0.1.1-2
libdeflate 1.18-1
libdispatch 5.5.0-1
libdisplay-info 0.1.1-3
libdrm 2.4.115-1
libdv 1.0.0-11
libdvdcss 1.4.3-1
libdvdnav 6.1.1-2
libdvdread 6.1.3-2
libedit 20221030_3.1-1
libelf 0.189-1
libepoxy 1.5.10-2
libev 4.33-2
libevdev 1.13.1-1
libevent 2.1.12-4
libexif 0.6.24-2
libfdk-aac 2.0.2-1
libffi 3.4.4-1
libfm-extra 1.3.2-1
libfm-qt 1.3.0-1
libfontenc 1.1.7-1
libfreeaptx 0.1.1-1
libgcrypt 1.10.2-1
libgirepository 1.76.1-3
libglvnd 1.6.0-1
libgme 0.6.3-4
libgnomekbd 1:3.28.1-1
libgpg-error 1.47-1
libgphoto2 2.5.30-2
libgsf 1.14.50-1
libgtop 2.41.1-1
libgudev 237-2
libheif 1.16.2-1
libical 3.0.16-4
libice 1.1.1-2
libidn2 2.3.4-3
libiec61883 1.2.0-7
libimagequant 4.1.1-1
libimobiledevice 1.3.0-9
libindicator-gtk3 12.10.1-10
libinih 56-1
libinput 1.23.0-1
libinstpatch 1.1.6-2
libisl 0.26-1
libjpeg-turbo 2.1.5.1-1
libjxl 0.8.1-2
libkate 0.4.1-9
libkexiv2 23.04.1-1
libksba 1.6.3-1
liblc3 1.0.3-1
libldac 2.0.2.3-1
libldap 2.6.4-2
liblouis 3.25.0-3
liblqr 0.4.2-3
liblrdf 0.6.1-4
libltc 1.3.2-1
libmalcontent 0.11.1-2
libmanette 0.2.6-5
libmaxminddb 1.7.1-1
libmbim 1.28.4-1
libmd 1.0.4-1
libmfx 23.2.2-1
libmicrodns 0.2.0-1
libmm-glib 1.20.6-1
libmng 2.0.3-3
libmnl 1.0.5-1
libmodplug 0.8.9.0-5
libmpc 1.3.1-1
libmpcdec 1:0.1+r475-4
libmpeg2 0.5.1-8
libmtp 1.1.21-1
libmysofa 1.3.1-2
libnatpmp 20150609-3
libndp 1.8-1
libnetfilter_conntrack 1.0.9-1
libnewt 0.52.23-2
libnfnetlink 1.0.2-1
